,time,open,high,low,close,volume,market_cap
0,2019-04-01,141.41,143.08,139.57,141.24,234310.19,234310.19161000
1,2019-04-02,141.24,165.6,141.0,163.31,906868.9,906868.85860000
2,2019-04-03,163.26,177.81,149.23,159.96,1345344.5,1345344.53845000
3,2019-04-04,159.96,164.0,152.8,157.36,686080.94,686080.95248000
4,2019-04-05,157.33,167.83,155.94,164.77,516070.34,516070.34553000
5,2019-04-06,164.84,172.77,159.2,165.5,528168.3,528168.33297000
6,2019-04-07,165.56,175.43,164.06,174.21,465507.53,465507.52497000
7,2019-04-08,174.29,185.87,170.9,178.72,873410.06,873410.07285000
8,2019-04-09,178.71,179.17,171.05,174.6,431986.38,431986.36108000
9,2019-04-10,174.58,183.77,168.0,177.12,523943.22,523943.20498000
10,2019-04-11,177.12,177.48,158.27,164.07,661305.3,661305.30321000
11,2019-04-12,164.06,166.5,158.11,163.19,316337.88,316337.87823000
12,2019-04-13,163.2,165.37,160.74,162.99,179237.75,179237.74574000
13,2019-04-14,162.99,168.11,161.2,167.23,186977.66,186977.66211000
14,2019-04-15,167.21,168.81,155.7,159.95,351548.9,351548.90790000
15,2019-04-16,159.91,166.73,159.41,165.37,240370.5,240370.50441000
16,2019-04-17,165.41,167.28,163.78,165.75,227841.55,227841.54981000
17,2019-04-18,165.75,175.2,165.04,173.33,396118.94,396118.94407000
18,2019-04-19,173.34,173.55,168.59,172.64,320541.72,320541.72166000
19,2019-04-20,172.66,176.97,169.87,172.88,253596.48,253596.48407000
20,2019-04-21,172.89,173.48,164.82,168.59,283450.44,283450.43943000
21,2019-04-22,168.59,172.3,167.0,170.52,269868.4,269868.39876000
22,2019-04-23,170.52,175.83,167.78,169.16,363523.34,363523.34531000
23,2019-04-24,169.15,169.87,159.26,164.78,426497.03,426497.04153000
24,2019-04-25,164.78,165.49,150.35,154.72,422657.03,422657.03239000
25,2019-04-26,154.7,162.56,151.4,157.95,500355.88,500355.86283000
26,2019-04-27,157.93,166.24,156.35,159.31,215918.64,215918.63842000
27,2019-04-28,159.32,160.24,156.92,157.85,152976.3,152976.30181000
28,2019-04-29,157.86,159.05,152.0,155.11,243591.95,243591.94898000
