,time,open,high,low,close,volume,market_cap
0,2019-04-01,60.47,60.9,59.62,60.45,129238.664,129238.66121000
1,2019-04-02,60.45,78.4,59.95,76.78,805505.2,805505.16575000
2,2019-04-03,76.76,98.5,76.24,85.19,1514710.2,1514710.29313000
3,2019-04-04,85.02,89.85,79.85,84.7,775702.7,775702.67217000
4,2019-04-05,84.71,89.85,83.65,88.24,366669.0,366668.99563000
5,2019-04-06,88.24,97.54,85.0,92.21,706789.25,706789.23459000
6,2019-04-07,92.23,95.44,88.74,91.55,404878.12,404878.13429000
7,2019-04-08,91.55,94.0,85.2,88.57,439909.34,439909.33843000
8,2019-04-09,88.57,88.71,82.61,86.17,317748.78,317748.78519000
9,2019-04-10,86.19,91.1,85.91,88.16,315727.25,315727.23676000
10,2019-04-11,88.16,88.45,74.64,78.88,663805.0,663804.98498000
11,2019-04-12,78.9,80.43,75.0,78.47,351092.12,351092.11924000
12,2019-04-13,78.43,81.02,75.51,77.62,276710.72,276710.71090000
13,2019-04-14,77.58,83.6,76.09,83.28,242418.4,242418.41303000
14,2019-04-15,83.31,84.41,75.0,78.07,437925.66,437925.65449000
15,2019-04-16,78.06,81.49,76.88,80.27,295134.2,295134.17728000
16,2019-04-17,80.27,81.5,78.0,78.77,232336.81,232336.81062000
17,2019-04-18,78.82,83.66,78.74,81.68,328509.78,328509.77037000
18,2019-04-19,81.67,83.17,79.48,82.05,265365.5,265365.49383000
19,2019-04-20,82.05,82.69,79.33,81.15,209481.55,209481.54759000
20,2019-04-21,81.16,81.85,72.86,76.65,405449.34,405449.35652000
21,2019-04-22,76.61,77.63,74.9,76.51,285737.84,285737.83886000
22,2019-04-23,76.47,79.29,73.33,73.7,408341.22,408341.22655000
23,2019-04-24,73.67,74.69,69.9,72.85,466422.9,466422.90922000
24,2019-04-25,72.85,74.43,70.6,71.78,307408.72,307408.70386000
25,2019-04-26,71.79,76.5,70.31,73.82,345014.88,345014.87676000
26,2019-04-27,73.83,74.01,71.83,72.23,102336.984,102336.98217000
27,2019-04-28,72.24,72.72,68.95,69.89,218635.6,218635.58959000
28,2019-04-29,69.89,70.37,66.5,67.87,203603.19,203603.18601000
29,2019-04-30,67.86,74.74,67.86,74.32,354469.12,354469.13538000
30,2019-05-01,74.31,75.36,71.78,73.36,273831.06,273831.04765000
31,2019-05-02,73.35,74.42,72.73,73.68,289626.47,289626.45366000
32,2019-05-03,73.65,80.58,73.31,79.22,538448.4,538448.40523000
33,2019-05-04,79.26,82.76,74.54,77.77,457004.0,457004.01484000
34,2019-05-05,77.73,78.16,75.4,75.7,236821.31,236821.31245000
35,2019-05-06,75.7,76.91,71.64,74.94,389445.47,389445.48037000
36,2019-05-07,74.95,78.75,73.4,74.61,357677.94,357677.92795000
37,2019-05-08,74.59,75.5,72.4,74.44,206081.78,206081.78548000
38,2019-05-09,74.44,75.9,72.77,74.19,240477.44,240477.43667000
39,2019-05-10,74.18,79.61,72.66,77.11,422915.94,422915.92520000
40,2019-05-11,77.12,95.0,76.85,86.59,909602.1,909602.12694000
41,2019-05-12,86.59,94.01,83.0,84.73,797262.9,797262.85973000
42,2019-05-13,84.71,92.49,84.1,87.16,627311.4,627311.35573000
43,2019-05-14,87.34,93.61,86.5,91.17,644139.06,644139.06467000
44,2019-05-15,91.15,104.25,89.69,102.02,673429.94,673429.92612000
45,2019-05-16,102.03,107.14,90.73,95.49,1179885.1,1179885.10784000
46,2019-05-17,95.49,97.48,84.27,89.76,914179.25,914179.22548000
47,2019-05-18,89.76,90.51,85.11,86.51,380542.16,380542.14297000
48,2019-05-19,86.55,96.81,86.07,94.58,584649.5,584649.51759000
49,2019-05-20,94.55,94.58,87.11,91.1,447735.72,447735.71615000
50,2019-05-21,91.1,93.02,88.83,90.79,335538.22,335538.23309000
51,2019-05-22,90.77,92.04,85.83,87.74,308520.28,308520.29109000
52,2019-05-23,87.74,89.53,84.62,88.61,208332.3,208332.29525000
53,2019-05-24,88.67,103.77,88.01,100.5,832985.2,832985.16125000
54,2019-05-25,100.5,105.07,98.87,102.66,519803.0,519802.98950000
55,2019-05-26,102.66,114.0,97.5,111.0,658431.94,658431.91144000
56,2019-05-27,111.03,121.89,109.94,116.3,873684.9,873684.89847000
57,2019-05-28,116.41,118.22,111.08,114.81,399902.25,399902.25403000
58,2019-05-29,114.87,118.33,108.0,115.06,359489.1,359489.09796000
59,2019-05-30,115.03,120.35,102.4,107.78,708618.8,708618.82450000
60,2019-05-31,107.78,114.93,104.55,114.6,487341.72,487341.72799000
61,2019-06-01,114.65,116.28,110.51,112.35,318759.84,318759.84041000
62,2019-06-02,112.34,116.48,111.25,114.39,234192.23,234192.23299000
63,2019-06-03,114.44,116.2,105.01,105.99,441610.78,441610.78458000
64,2019-06-04,105.94,106.8,98.13,102.2,673951.1,673951.14145000
65,2019-06-05,102.2,105.21,100.11,103.66,379894.44,379894.44483000
66,2019-06-06,103.61,112.07,101.0,111.19,488905.22,488905.21588000
67,2019-06-07,111.25,121.0,109.53,116.71,619792.5,619792.48983000
68,2019-06-08,116.74,119.7,113.5,118.01,454621.75,454621.75369000
69,2019-06-09,118.01,118.94,111.02,114.66,425246.38,425246.36749000
70,2019-06-10,114.66,130.12,112.54,129.15,793211.25,793211.22328000
71,2019-06-11,129.19,138.56,124.85,135.69,836035.0,836034.97354000
72,2019-06-12,135.79,143.19,129.86,135.32,1015972.94,1015972.92864000
73,2019-06-13,135.32,136.52,127.92,130.55,477007.3,477007.30523000
74,2019-06-14,130.55,133.03,125.22,132.0,460272.62,460272.62793000
75,2019-06-15,132.03,139.5,132.01,137.54,389908.38,389908.37623000
76,2019-06-16,137.51,138.2,133.15,136.45,392560.1,392560.10493000
77,2019-06-17,136.42,136.82,131.53,133.8,302485.5,302485.50097000
78,2019-06-18,133.8,136.84,128.0,135.22,400995.84,400995.83149000
79,2019-06-19,135.25,139.5,133.5,136.43,373850.88,373850.88301000
80,2019-06-20,136.41,136.75,133.0,135.46,236819.61,236819.61409000
81,2019-06-21,135.45,141.29,131.0,138.28,392390.97,392390.97750000
82,2019-06-22,138.3,145.9,136.01,142.26,670112.2,670112.19411000
83,2019-06-23,142.2,143.34,136.15,137.5,273142.66,273142.66174000
84,2019-06-24,137.5,137.52,132.65,135.77,269137.1,269137.08964000
85,2019-06-25,135.78,138.63,129.75,136.33,343042.3,343042.31826000
86,2019-06-26,136.32,138.5,127.5,132.25,659208.44,659208.45477000
87,2019-06-27,132.24,133.5,111.82,116.01,932158.06,932158.03694000
88,2019-06-28,116.02,122.19,114.49,120.01,455587.97,455587.96464000
89,2019-06-29,119.99,137.0,116.0,133.86,650966.5,650966.52780000
90,2019-06-30,133.88,137.44,120.54,123.25,808645.44,808645.44775000
91,2019-07-01,123.22,127.03,113.82,123.17,612063.25,612063.25919000
92,2019-07-02,123.16,124.0,112.63,118.77,469582.1,469582.08700000
93,2019-07-03,118.74,123.15,116.78,121.36,365008.06,365008.06750000
94,2019-07-04,121.34,127.03,118.51,119.61,375062.75,375062.74273000
95,2019-07-05,119.64,120.99,116.22,118.35,223608.72,223608.71264000
96,2019-07-06,118.29,121.8,117.06,118.31,153816.7,153816.69797000
97,2019-07-07,118.28,120.35,117.0,119.48,142378.61,142378.61429000
98,2019-07-08,119.48,125.07,117.77,122.92,219116.92,219116.92194000
99,2019-07-09,122.92,124.08,117.64,119.24,233440.12,233440.12041000
100,2019-07-10,119.23,120.13,102.5,108.31,507821.3,507821.30862000
101,2019-07-11,108.29,108.33,95.21,102.98,566917.44,566917.40666000
102,2019-07-12,103.0,107.02,100.65,104.86,204977.53,204977.52431000
103,2019-07-13,104.86,105.03,97.64,101.03,229252.97,229252.96129000
104,2019-07-14,101.06,101.9,87.58,89.66,429594.97,429594.96949000
105,2019-07-15,89.67,92.99,84.6,90.43,382169.25,382169.24803000
106,2019-07-16,90.43,91.91,76.6,79.61,483565.94,483565.93207000
107,2019-07-17,79.62,94.65,71.0,89.95,611125.06,611125.08258000
108,2019-07-18,89.98,104.5,86.87,101.16,609872.1,609872.10131000
109,2019-07-19,101.15,101.26,94.73,98.23,366646.25,366646.23978000
110,2019-07-20,98.25,105.88,97.42,100.25,355926.03,355926.02335000
111,2019-07-21,100.26,101.41,96.4,99.7,247121.44,247121.43139000
112,2019-07-22,99.74,100.91,91.14,95.31,318533.97,318533.96014000
113,2019-07-23,95.31,95.35,88.62,90.15,264516.22,264516.21574000
114,2019-07-24,90.1,97.45,86.8,94.5,355813.1,355813.08830000
115,2019-07-25,94.43,96.67,91.06,93.22,228403.48,228403.48379000
116,2019-07-26,93.23,94.52,89.83,94.06,169220.33,169220.32033000
117,2019-07-27,94.01,96.09,86.67,88.79,250915.25,250915.24992000
118,2019-07-28,88.83,90.9,83.13,90.0,201075.77,201075.77208000
119,2019-07-29,90.0,92.26,87.48,90.33,233655.44,233655.44074000
120,2019-07-30,90.33,92.71,88.5,90.15,166817.94,166817.93325000
121,2019-07-31,90.12,99.95,89.81,98.76,280442.03,280442.01907000
122,2019-08-01,98.77,100.59,95.23,98.64,256621.8,256621.80027000
123,2019-08-02,98.62,98.77,92.52,94.76,284902.03,284902.02673000
124,2019-08-03,94.8,96.7,93.51,94.17,187442.27,187442.26636000
125,2019-08-04,94.15,94.8,90.11,92.64,210063.34,210063.34433000
126,2019-08-05,92.68,106.77,92.68,96.56,708024.75,708024.73305000
127,2019-08-06,96.56,99.32,91.0,92.99,370218.5,370218.49667000
128,2019-08-07,93.05,94.45,87.36,90.59,298275.75,298275.75612000
129,2019-08-08,90.59,92.75,87.72,90.15,227275.84,227275.85013000
130,2019-08-09,90.08,90.45,82.64,84.24,245919.98,245919.98030000
131,2019-08-10,84.25,87.5,82.27,85.46,243663.6,243663.59097000
132,2019-08-11,85.46,91.57,85.15,89.93,196951.4,196951.40228000
133,2019-08-12,89.99,90.04,85.45,85.79,147573.88,147573.87933000
134,2019-08-13,85.79,86.79,83.26,84.88,166783.81,166783.80957000
135,2019-08-14,84.83,86.32,75.0,75.9,310895.4,310895.41050000
136,2019-08-15,75.91,77.7,74.36,76.25,157703.33,157703.32106000
137,2019-08-16,76.24,76.42,72.34,74.67,186709.03,186709.02728000
138,2019-08-17,74.63,75.35,71.5,72.65,131039.84,131039.84431000
139,2019-08-18,72.64,78.0,71.4,76.25,171800.86,171800.85253000
140,2019-08-19,76.31,78.95,75.36,77.1,176507.94,176507.93997000
141,2019-08-20,77.1,77.3,73.31,75.14,130580.766,130580.76909000
142,2019-08-21,75.13,75.33,70.14,73.27,188740.48,188740.48706000
143,2019-08-22,73.18,74.64,71.0,73.31,159575.08,159575.08558000
144,2019-08-23,73.38,75.92,72.1,75.38,138535.9,138535.90048000
145,2019-08-24,75.37,75.65,71.39,73.32,119841.87,119841.86721000
146,2019-08-25,73.32,74.93,70.56,72.1,143368.08,143368.07877000
147,2019-08-26,72.12,75.46,72.09,73.54,186459.72,186459.72505000
148,2019-08-27,73.59,73.75,72.13,72.9,92746.016,92746.01751000
149,2019-08-28,72.88,73.14,65.0,66.73,295837.7,295837.67734000
150,2019-08-29,66.73,66.77,62.0,63.59,206167.48,206167.47861000
151,2019-08-30,63.55,65.6,62.16,64.17,188503.14,188503.14428000
152,2019-08-31,64.18,65.39,62.25,64.24,148167.16,148167.15877000
153,2019-09-01,64.23,67.21,63.74,65.89,160452.86,160452.85757000
