,0,1,2,3,4,5
1406,2020-03-02 04:15:00,141.452,147.0,139.998,143.0,169255
1405,2020-03-02 04:30:00,143.024,143.156,142.0,142.692,22995
1404,2020-03-02 04:45:00,142.62,142.898,139.4,139.4,105395
1403,2020-03-02 05:00:00,140.96,141.398,139.8,140.002,36150
1402,2020-03-02 05:15:00,140.16,140.16,139.0,139.0,25570
1401,2020-03-02 05:30:00,138.4,140.2,138.4,140.2,21865
1400,2020-03-02 05:45:00,140.81,140.81,139.4,139.4,15765
1399,2020-03-02 06:00:00,140.0,140.232,138.824,138.824,43595
1398,2020-03-02 06:15:00,138.624,138.65,137.632,138.0,21450
1397,2020-03-02 06:30:00,137.2,137.2,135.232,135.44,85560
1396,2020-03-02 06:45:00,135.202,135.8,134.412,134.432,68090
1395,2020-03-02 07:00:00,135.2,135.33,133.4,133.8,61885
1394,2020-03-02 07:15:00,133.634,135.956,132.4,132.998,287455
1393,2020-03-02 07:30:00,133.206,135.64,132.604,135.64,189510
1392,2020-03-02 07:45:00,136.0,136.2,135.034,135.534,321755
1391,2020-03-02 08:00:00,135.402,136.36,134.6,135.798,360255
1390,2020-03-02 08:15:00,135.812,138.986,132.4,138.96,782820
1389,2020-03-02 08:30:00,138.96,140.46,137.76,138.182,795150
1388,2020-03-02 08:45:00,138.576,138.75,137.02,138.0,403690
1387,2020-03-02 09:00:00,138.07,140.4,133.598,140.02004,463285
1386,2020-03-02 09:15:00,140.02,141.018,139.602,140.862,676805
1385,2020-03-02 09:30:00,140.78,142.354,140.5,142.304,568405
1384,2020-03-02 09:45:00,142.252,144.8,138.42,141.78,13050230
1383,2020-03-02 10:00:00,141.75698,142.70998,140.62,140.981,5103855
1382,2020-03-02 10:15:00,140.936,141.554,138.56254,139.683,5577635
1381,2020-03-02 10:30:00,139.734,140.324,137.334,138.888,4437515
1380,2020-03-02 10:45:00,138.86782,140.954,137.416,140.73142,3826280
1379,2020-03-02 11:00:00,140.65,141.4,139.6342,139.642,3246485
1378,2020-03-02 11:15:00,139.632,142.224,139.6,142.14,2917240
1377,2020-03-02 11:30:00,142.13692,143.266,141.22594,142.21,3670865
1376,2020-03-02 11:45:00,142.328,144.114,142.044,143.68104,3457465
1375,2020-03-02 12:00:00,143.7202,145.4,143.324,145.22986,4010055
1374,2020-03-02 12:15:00,145.2271,145.8978,143.46002,144.498,4301030
1373,2020-03-02 12:30:00,144.588,145.244,143.49966,145.186,2580490
1372,2020-03-02 12:45:00,145.3,145.84,144.882,145.27,2386685
1371,2020-03-02 13:00:00,145.326,147.75,145.326,147.21304,4662810
1370,2020-03-02 13:15:00,147.21,147.3,145.6,146.8642,2642210
1369,2020-03-02 13:30:00,146.92,146.98966,144.424,145.192,2539530
1368,2020-03-02 13:45:00,145.192,146.696,144.79,146.34022,2091965
1367,2020-03-02 14:00:00,146.423,146.68874,144.932,145.728,1752890
1366,2020-03-02 14:15:00,145.72,146.444,145.36,146.29,1501650
1365,2020-03-02 14:30:00,146.35132,146.35132,145.1,145.14264,1458460
1364,2020-03-02 14:45:00,145.198,145.386,142.816,143.82394,2914170
1363,2020-03-02 15:00:00,143.8,145.5,143.4,144.384,2524880
1362,2020-03-02 15:15:00,144.4,145.25,144.276,145.119,1516790
1361,2020-03-02 15:30:00,145.074,145.8,144.574,145.45868,1772910
1360,2020-03-02 15:45:00,145.498,146.802,145.316,145.7976,3068365
1359,2020-03-02 16:00:00,145.866,148.738,145.8432,148.738,5327260
1358,2020-03-02 16:15:00,148.724,148.8,147.62,147.724,563055
1357,2020-03-02 16:30:00,147.61,148.0,147.564,147.94,72065
1356,2020-03-02 16:45:00,147.81,148.574,147.8,148.52,72040
1355,2020-03-02 17:00:00,148.57,149.188,148.4,149.188,149735
1354,2020-03-02 17:15:00,149.204,150.5,149.2,150.5,214955
1353,2020-03-02 17:30:00,150.8,153.198,150.8,151.602,400925
1352,2020-03-02 17:45:00,151.598,152.2,150.404,150.906,124360
1351,2020-03-02 18:00:00,151.1,151.1,150.2,150.6,52805
1350,2020-03-02 18:15:00,150.6,150.74,150.04,150.36,45320
1349,2020-03-02 18:30:00,150.4,150.8,150.268,150.718,32970
1348,2020-03-02 18:45:00,150.6,150.62,150.44,150.44,8280
1347,2020-03-02 19:00:00,150.6,152.0,150.6,151.8,51500
1346,2020-03-02 19:15:00,151.8,152.0,151.52,151.9,44785
1345,2020-03-02 19:30:00,151.89,153.24,151.8,152.9,128025
1344,2020-03-02 19:45:00,152.9,154.0,152.9,153.8,148865
1343,2020-03-02 20:00:00,153.8,153.998,153.4,153.8,113965
1342,2020-03-03 04:15:00,155.534,157.0,152.62,155.0,126110
1341,2020-03-03 04:30:00,155.2,155.4,153.8,153.812,49695
1340,2020-03-03 04:45:00,153.988,154.0,153.2,153.2,31580
1339,2020-03-03 05:00:00,153.998,155.0,153.998,154.2,37670
1338,2020-03-03 05:15:00,154.59,155.0,154.204,154.204,21000
1337,2020-03-03 05:30:00,154.566,154.8,154.566,154.8,2510
1336,2020-03-03 05:45:00,154.6,154.6,154.212,154.592,7245
1335,2020-03-03 06:00:00,154.59,154.9,154.54,154.9,19755
1334,2020-03-03 06:15:00,154.62,154.62,153.4,153.8,34505
1333,2020-03-03 06:30:00,154.0,154.6,153.8,154.3,42650
1332,2020-03-03 06:45:00,154.6,154.6,153.442,153.6,41135
1331,2020-03-03 07:00:00,153.7,154.6,153.7,154.022,33205
1330,2020-03-03 07:15:00,154.5,159.746,154.5,158.598,991530
1329,2020-03-03 07:30:00,158.76,160.6,158.632,160.106,494835
1328,2020-03-03 07:45:00,160.0,164.038,159.6,159.6,1246590
1327,2020-03-03 08:00:00,159.406,159.63,156.986,157.4,787250
1326,2020-03-03 08:15:00,157.2,163.99,154.4,156.796,1162025
1325,2020-03-03 08:30:00,156.632,159.22,156.0,158.3,705375
1324,2020-03-03 08:45:00,158.044,158.688,157.224,158.07,517145
1323,2020-03-03 09:00:00,158.172,160.518,157.6,160.116,742515
1322,2020-03-03 09:15:00,160.0,161.2,159.802,160.2,704240
1321,2020-03-03 09:30:00,160.2,161.2,159.798,161.022,716280
1320,2020-03-03 09:45:00,161.0,161.396,155.0,158.002,15609325
1319,2020-03-03 10:00:00,158.19232,158.69388,153.262,154.404,8047425
1318,2020-03-03 10:15:00,154.574,160.0,154.4738,154.66326,10369420
1317,2020-03-03 10:30:00,154.54,157.1436,152.672,155.494,6425810
1316,2020-03-03 10:45:00,155.34924,157.176,154.6,156.84984,3418625
1315,2020-03-03 11:00:00,156.841,157.466,155.601,156.744,2739645
1314,2020-03-03 11:15:00,156.58254,157.284,153.614,153.705,3709965
1313,2020-03-03 11:30:00,153.782,155.136,150.28,151.6,5602420
